0	1	2
accessibl	0	0	1
accessibil	0	0	1
accommod	0	0	1
accompl	0	0	1
prec	0	0	1
exact	0	0	1
exactitud	0	0	1
realis	0	0	1
realist	0	0	1
adapt	0	0	1
adequat	0	0	1
reglabl	0	0	1
regret pas	0	0	1
admir	0	0	1
ador	0	0	1
adroit	0	0	1
adul	0	0	1
avanc	0	0	1
avantag	0	0	1
aventur	0	0	1
defenseur	0	0	1
affabl	0	0	1
affect	0	0	1
affectu	0	0	1
affin	0	0	1
abord	0	0	1
afford	0	0	1
agil	0	0	1
agreabl	0	0	1
amabl	0	0	1
seduis	0	0	1
altruist	0	0	1
ambiti	0	0	1
aimabl	0	0	1
amiabl	0	0	1
amiti	0	0	1
amplement	0	0	1
amus	0	0	1
ange	0	0	1
angel	0	0	1
applaud	0	0	1
appreci	0	0	1
reconnaiss	0	0	1
appropri	0	0	1
approb	0	0	1
approuv	0	0	1
ardent	0	0	1
ardemment	0	0	1
ardeur	0	0	1
assur	0	0	1
astuci	0	0	1
attent	1	0	0
attract	0	0	1
jol	0	0	1
audibl	0	0	1
augur	0	0	1
authent	0	0	1
autor	0	0	1
autonom	0	0	1
disponibl	0	0	1
prix	0	0	1
impression	0	0	1
genial	0	0	1
emerveil	0	0	1
equilibr	0	0	1
aubain	0	0	1
bel	0	0	1
magnif	0	0	1
beaut	0	0	1
credibl	0	0	1
bien aim	0	0	1
bienfaiteur	0	0	1
bienfais	0	0	1
benef	0	0	1
verit	0	0	1
beneficiair	0	0	1
benefici	0	0	1
bienveil	0	0	1
meilleur	0	0	1
mieux	0	0	1
pas mieux	1	0	0
pas pir	0	0	1
plus perform	0	0	1
best sel	0	0	1
mieux que prevu	0	0	1
superb	0	0	1
irreproch	0	0	1
ben	0	0	1
benedict	0	0	1
joyeux	0	0	1
fleur	0	0	1
renforc	0	0	1
essor	0	0	1
plein essor	0	0	1
gener	0	0	1
neuf	0	0	1
bravo	0	0	1
essouffl	0	0	1
coup le souffl	0	0	1
pas de souc	0	0	1
aucun souc	0	0	1
pas de problem	0	0	1
aucun problem	0	0	1
lumin	0	0	1
brill	0	0	1
eclat	0	0	1
soutenu	0	0	1
fraternel	0	0	1
calm	0	0	1
capac	0	0	1
capabl	0	0	1
habil	0	0	1
captiv	0	0	1
insouci	1	0	0
accrocheur	0	0	1
celebr	0	0	1
champion	0	0	1
charm	0	0	1
