0	1	2
accessible	0	0	1
accessibilité	0	0	1
accommodant	0	0	1
accomplir	0	0	1
accomplissement	0	0	1
précis	0	0	1
exact	0	0	1
exactitude	0	0	1
réalisable	0	0	1
réaliste	0	0	1
adaptable	0	0	1
adaptatif	0	0	1
adéquat	0	0	1
réglable	0	0	1
regretter pas	0	0	1
admirable	0	0	1
admiration	0	0	1
admirer	0	0	1
admirateur	0	0	1
admirant	0	0	1
adorable	0	0	1
adorer	0	0	1
adoration	0	0	1
adroit	0	0	1
adroitement	0	0	1
aduler	0	0	1
adulation	0	0	1
avancé	0	0	1
avantage	0	0	1
avantageux	0	0	1
aventureux	0	0	1
défenseur	0	0	1
affabilité	0	0	1
affable	0	0	1
affection	0	0	1
affectueux	0	0	1
affinité	0	0	1
abordable	0	0	1
affordable	0	0	1
agile	0	0	1
agilement	0	0	1
agilité	0	0	1
agréable	0	0	1
amabilité	0	0	1
agréablement	0	0	1
séduisant	0	0	1
altruiste	0	0	1
ambitieux	0	0	1
aimable	0	0	1
amiable	0	0	1
amitié	0	0	1
amplement	0	0	1
amuser	0	0	1
amusant	0	0	1
ange	0	0	1
angélique	0	0	1
applaudir	0	0	1
appréciable	0	0	1
apprécier	0	0	1
reconnaissant	0	0	1
approprié	0	0	1
approbation	0	0	1
approuver	0	0	1
ardent	0	0	1
ardemment	0	0	1
ardeur	0	0	1
assurance	0	0	1
assurer	0	0	1
assurément	0	0	1
assurant	0	0	1
astucieux	0	0	1
attentif	0	0	1
attraction	0	0	1
attractif	0	0	1
joliment	0	0	1
joli	0	0	1
audible	0	0	1
augure	0	0	1
authentique	0	0	1
autorité	0	0	1
autonome	0	0	1
disponible	0	0	1
prix	0	0	1
impressionné	0	0	1
génial	0	0	1
émerveillé	0	0	1
équilibré	0	0	1
aubaine	0	0	1
belle	0	0	1
magnifique	0	0	1
beauté	0	0	1
crédible	0	0	1
bien aimé	0	0	1
bienfaiteur	0	0	1
bienfaisant	0	0	1
bénéfique	0	0	1
véritable	0	0	1
bénéficiaire	0	0	1
bénéficier	0	0	1
bienveillance	0	0	1
