0	1	2
a+	0	0	1
abound	0	0	1
abounds	0	0	1
abundance	0	0	1
abundant	0	0	1
accessable	0	0	1
accessible	0	0	1
acclaim	0	0	1
acclaimed	0	0	1
acclamation	0	0	1
accolade	0	0	1
accolades	0	0	1
accommodative	0	0	1
accomodative	0	0	1
accomplish	0	0	1
accomplished	0	0	1
accomplishment	0	0	1
accomplishments	0	0	1
accurate	0	0	1
accurately	0	0	1
achievable	0	0	1
achievement	0	0	1
achievements	0	0	1
achievible	0	0	1
acumen	0	0	1
adaptable	0	0	1
adaptive	0	0	1
adequate	0	0	1
adjustable	0	0	1
admirable	0	0	1
admirably	0	0	1
admiration	0	0	1
admire	0	0	1
admirer	0	0	1
admiring	0	0	1
admiringly	0	0	1
adorable	0	0	1
adore	0	0	1
adored	0	0	1
adorer	0	0	1
adoring	0	0	1
adoringly	0	0	1
adroit	0	0	1
adroitly	0	0	1
adulate	0	0	1
adulation	0	0	1
adulatory	0	0	1
advanced	0	0	1
advantage	0	0	1
advantageous	0	0	1
advantageously	0	0	1
advantages	0	0	1
adventuresome	0	0	1
adventurous	0	0	1
advocate	0	0	1
advocated	0	0	1
advocates	0	0	1
affability	0	0	1
affable	0	0	1
affably	0	0	1
affectation	0	0	1
affection	0	0	1
affectionate	0	0	1
affinity	0	0	1
affirm	0	0	1
affirmation	0	0	1
affirmative	0	0	1
affluence	0	0	1
affluent	0	0	1
afford	0	0	1
affordable	0	0	1
affordably	0	0	1
afordable	0	0	1
agile	0	0	1
agilely	0	0	1
agility	0	0	1
agreeable	0	0	1
agreeableness	0	0	1
agreeably	0	0	1
all-around	0	0	1
alluring	0	0	1
alluringly	0	0	1
altruistic	0	0	1
altruistically	0	0	1
amaze	0	0	1
amazed	0	0	1
amazement	0	0	1
amazes	0	0	1
amazing	0	0	1
amazingly	0	0	1
ambitious	0	0	1
ambitiously	0	0	1
ameliorate	0	0	1
amenable	0	0	1
amenity	0	0	1
amiability	0	0	1
amiabily	0	0	1
amiable	0	0	1
amicability	0	0	1
amicable	0	0	1
amicably	0	0	1
amity	0	0	1
ample	0	0	1
amply	0	0	1
amuse	0	0	1
amusing	0	0	1
amusingly	0	0	1
angel	0	0	1
angelic	0	0	1
apotheosis	0	0	1
appeal	0	0	1
appealing	0	0	1
applaud	0	0	1
appreciable	0	0	1
appreciate	0	0	1
appreciated	0	0	1
appreciates	0	0	1
appreciative	0	0	1
appreciatively	0	0	1
appropriate	0	0	1
approval	0	0	1
approve	0	0	1
ardent	0	0	1
ardently	0	0	1
ardor	0	0	1
articulate	0	0	1
aspiration	0	0	1
aspirations	0	0	1
aspire	0	0	1
assurance	0	0	1
assurances	0	0	1
assure	0	0	1
assuredly	0	0	1
assuring	0	0	1
astonish	0	0	1
astonished	0	0	1
astonishing	0	0	1
astonishingly	0	0	1
astonishment	0	0	1
astound	0	0	1
astounded	0	0	1
astounding	0	0	1
astoundingly	0	0	1
astutely	0	0	1
attentive	0	0	1
attraction	0	0	1
attractive	0	0	1
attractively	0	0	1
attune	0	0	1
audible	0	0	1
audibly	0	0	1
auspicious	0	0	1
authentic	0	0	1
authoritative	0	0	1
autonomous	0	0	1
available	0	0	1
aver	0	0	1
avid	0	0	1
avidly	0	0	1
award	0	0	1
awarded	0	0	1
awards	0	0	1
awe	0	0	1
awed	0	0	1
awesome	0	0	1
awesomely	0	0	1
awesomeness	0	0	1
awestruck	0	0	1
awsome	0	0	1
backbone	0	0	1
balanced	0	0	1
bargain	0	0	1
beauteous	0	0	1
beautiful	0	0	1
beautifullly	0	0	1
beautifully	0	0	1
beautify	0	0	1
beauty	0	0	1
beckon	0	0	1
beckoned	0	0	1
beckoning	0	0	1
beckons	0	0	1
believable	0	0	1
believeable	0	0	1
beloved	0	0	1
benefactor	0	0	1
beneficent	0	0	1
beneficial	0	0	1
beneficially	0	0	1
beneficiary	0	0	1
benefit	0	0	1
benefits	0	0	1
benevolence	0	0	1
benevolent	0	0	1
benifits	0	0	1
best	0	0	1
best-known	0	0	1
best-performing	0	0	1
best-selling	0	0	1
better	0	0	1
better-known	0	0	1
better-than-expected	0	0	1
beutifully	0	0	1
blameless	0	0	1
bless	0	0	1
blessing	0	0	1
bliss	0	0	1
blissful	0	0	1
blissfully	0	0	1
blithe	0	0	1
blockbuster	0	0	1
bloom	0	0	1
blossom	0	0	1
bolster	0	0	1
bonny	0	0	1
bonus	0	0	1
bonuses	0	0	1
boom	0	0	1
booming	0	0	1
boost	0	0	1
boundless	0	0	1
bountiful	0	0	1
brainiest	0	0	1
brainy	0	0	1
brand-new	0	0	1
brave	0	0	1
bravery	0	0	1
bravo	0	0	1
breakthrough	0	0	1
breakthroughs	0	0	1
breathlessness	0	0	1
breathtaking	0	0	1
breathtakingly	0	0	1
breeze	0	0	1
bright	0	0	1
brighten	0	0	1
brighter	0	0	1
brightest	0	0	1
brilliance	0	0	1
brilliances	0	0	1
brilliant	0	0	1
brilliantly	0	0	1
brisk	0	0	1
brotherly	0	0	1
bullish	0	0	1
buoyant	0	0	1
cajole	0	0	1
calm	0	0	1
calming	0	0	1
calmness	0	0	1
capability	0	0	1
capable	0	0	1
capably	0	0	1
captivate	0	0	1
captivating	0	0	1
carefree	0	0	1
cashback	0	0	1
cashbacks	0	0	1
catchy	0	0	1
celebrate	0	0	1
celebrated	0	0	1
celebration	0	0	1
celebratory	0	0	1
champ	0	0	1
