0	1	2
abid	0	0	1
abl	0	0	1
absolv	0	0	1
absorb	0	0	1
acced	0	0	1
accept	0	0	1
acclaim	0	0	1
acclam	0	0	1
accolad	0	0	1
accommod	0	0	1
accomplish	0	0	1
accur	0	0	1
acumen	0	0	1
adapt	0	0	1
adept	0	0	1
adequ	0	0	1
admir	0	0	1
admiringli	0	0	1
admit	0	0	1
admittedli	0	0	1
ador	0	0	1
adoringli	0	0	1
adroit	0	0	1
adroitli	0	0	1
adul	0	0	1
adulatori	0	0	1
adult	0	0	1
advantag	0	0	1
adventur	0	0	1
adventuresom	0	0	1
advoc	0	0	1
advocaci	0	0	1
affabl	0	0	1
affect	0	0	1
affection	0	0	1
affirm	0	0	1
agil	0	0	1
agre	0	0	1
agreeabl	0	0	1
allai	0	0	1
alli	0	0	1
allright	0	0	1
allur	0	0	1
alluringli	0	0	1
almighti	0	0	1
altruist	0	0	1
amaz	0	0	1
amazingli	0	0	1
ambiti	0	0	1
amelior	0	0	1
amen	0	0	1
amiabili	0	0	1
amiabl	0	0	1
amic	0	0	1
amour	0	0	1
amus	0	0	1
amusingli	0	0	1
angel	0	0	1
anim	0	0	1
apostl	0	0	1
apotheosi	0	0	1
appeal	0	0	1
applaud	0	0	1
appreci	0	0	1
appropri	0	0	1
ardent	0	0	1
ardor	0	0	1
arous	0	0	1
articul	0	0	1
artist	0	0	1
ascend	0	0	1
ascertain	0	0	1
aspir	0	0	1
assault	1	0	0
assent	0	0	1
assert	0	0	1
assidu	0	0	1
assur	0	0	1
assuredli	0	0	1
astonishingli	0	0	1
astound	0	0	1
astoundingli	0	0	1
astut	0	0	1
attent	0	0	1
attest	0	0	1
attract	0	0	1
auspici	0	0	1
authent	0	0	1
avante	0	0	1
aver	0	0	1
avid	0	0	1
avidli	0	0	1
awesom	0	0	1
awestruck	0	0	1
balanc	0	0	1
bargain	0	0	1
basic	0	0	1
beatifi	0	0	1
beauteou	0	0	1
beauti	0	0	1
beautifi	0	0	1
beautifulli	0	0	1
befit	0	0	1
befriend	0	0	1
believ	0	0	1
belov	0	0	1
benefic	0	0	1
benefici	0	0	1
beneficiari	0	0	1
benevol	0	0	1
best	0	0	1
best-known	0	0	1
best-perform	0	0	1
better	0	0	1
better-known	0	0	1
better-than-expect	0	0	1
big	0	0	1
blameless	0	0	1
bless	0	0	1
bliss	0	0	1
blissfulli	0	0	1
blith	0	0	1
bold	0	0	1
boldli	0	0	1
bolster	0	0	1
bonafid	0	0	1
bonni	0	0	1
bounci	0	0	1
boundless	0	0	1
bounti	0	0	1
brain	0	0	1
braini	0	0	1
brave	0	0	1
braver	0	0	1
braveri	0	0	1
bravest	0	0	1
breathless	0	0	1
breathtak	0	0	1
breathtakingli	0	0	1
brief	0	0	1
brilliant	0	0	1
brilliantli	0	0	1
brook	0	0	1
budget	0	0	1
buoyant	0	0	1
busi	0	0	1
calm	0	0	1
candid	0	0	1
candidli	0	0	1
candor	0	0	1
capabl	0	0	1
captiv	0	0	1
care	0	0	1
carefre	0	0	1
carefulli	0	0	1
catalyst	0	0	1
catchi	0	0	1
cautiou	0	0	1
cautious	0	0	1
celebr	0	0	1
celebratori	0	0	1
central	0	0	1
challeng	0	0	1
charismat	0	0	1
charit	0	0	1
charm	0	0	1
charmingli	0	0	1
chast	0	0	1
cheer	0	0	1
cheerfulli	0	0	1
cheeri	0	0	1
cheerili	0	0	1
cherish	0	0	1
cherub	0	0	1
chic	0	0	1
chirpi	0	0	1
chivalr	0	0	1
chivalri	0	0	1
chuf	0	0	1
cinemat	0	0	1
circumspect	0	0	1
civil	0	0	1
classic	0	0	1
clean	0	0	1
cleaner	0	0	1
cleanest	0	0	1
cleanli	0	0	1
clear	0	0	1
clear-cut	0	0	1
clearer	0	0	1
clearli	0	0	1
clever	0	0	1
cleverli	0	0	1
close	0	0	1
clout	0	0	1
coax	0	0	1
cogent	0	0	1
coher	0	0	1
color	0	0	1
colour	0	0	1
